projectName,projectId,title,hyperlink,utcDate,utcTime
Ora,l6awms,Ethereum x AI Confluence Day,https://lu.ma/2xiporkj?tk=I36MjE,09/17/2024,02:00
MyShell,1gfb8a,Decentralized AI Breakfast,https://lu.ma/qto5hqug?tk=UU72Z0,09/17/2024,01:00
Akash,qmmyw0,DeYACHT,https://lu.ma/setsail?tk=WJbicj,09/18/2024,10:00
Aethir,oo2cn2,Decentralized AI Day,https://lu.ma/DecentralizedAIDay?tk=r95IpX,09/18/2024,3:00
0G Labs,3klhti,Web3 x AI Founders' Mixer,https://lu.ma/104tguan,09/19/2024,07:00
Autonolas,5wvni1,Agents Unleashed: Night at the Museum,https://lu.ma/nrupygoy,09/20/2024,9:00
IO.Net,61zuw7,AI + DePIN Breakfast & Chill,https://lu.ma/q9xubzkv,09/21/2024,01:00
Peaq,vx7fas,peaq Connect: Founders meet Funders,https://lu.ma/peaqconnect,09/17/2024,6:30
Peaq,vx7fas,Genesis by peaq,https://lu.ma/Genesisbypeaq,09/17/2024,8:30
Codatta,ahw4vg,AiFi Summit 2024 VIP Dinner,https://lu.ma/ki6nh599,09/17/2024,9:00
NEAR,dnmt6p,"The Scaling AI Summit",https://lu.ma/TheScaling2024SG,09/16/2024,0:00
NEAR,dnmt6p,"NEAR AI Tech Showcase",https://lu.ma/NEARAITechShowcaseToken2049?tk=3p8yrd,09/17/2024,5:00
Internet Computer,edypr6,"AI Web3 City Luncheon",https://lu.ma/0w4z6ebl,09/18/2024,23:30
Galadriel,uoatrw,"ETH for AI - pizza, chill & workshop",https://lu.ma/p0iylgh8?tk=IxEb8K,09/21/2024,2:00
Helium,5bm99m,"Helium Community Call (August)",https://discord.com/channels/404106811252408320/730418759298318346/1277710538855682069,08/28/2024,16:00
Geodnet,scli9r,"GEODNET & ROVR Joint AMA",https://x.com/i/spaces/1BdGYELPokYGX,08/27/2024,16:00
Helium,5bm99m,"Helium Community Call",https://discord.gg/helium?event=1278400180562956408,09/25/2024,16:00
UpRock,1rtzqi,"UpRock Weekly Calls #20:",https://www.youtube.com/watch?v=ef12KLeZLKA,09/21/2024,8:30
MASQ,0ezngt,"Weekly Town Hall: MASQ Browser Update, Extension & More!",https://x.com/i/spaces/1zqJVYkeEZVGB,09/19/2024,2:00
UpRock,1rtzqi,"UpRock Weekly Call #19",https://www.youtube.com/watch?v=AFQmuvsLcY4,09/12/2024,15:30
WifiDabba,sc8bst,"DePins Roundtable Discussion",https://x.com/i/spaces/1ypJdpjjgbQJW,09/11/2024,19:00
Metablox,k5fxwj,"Impact 2049",https://lu.ma/IMPACTbyRoam,09/19/2024,6:00
Geodnet,scli9r,"Geodnet & Wingbits joint AMA",https://x.com/i/spaces/1OwxWNDOARjJQ,09/11/2024,16:00
UpRock,1rtzqi,"Tech Fireside Chat",https://discord.com/channels/907363977527431270/917465181221711953/1281209789145153547,09/05/2024,17:30
Nosana,hdcghq,"Nosana August Update",https://x.com/i/spaces/1mrxmMjoPrWxy,09/05/2024,15:00
WifiDabba,sc8bst,"DePIN Roundtable - Smart Cities & Emerging Markets Discussion",https://x.com/i/spaces/1jMJgBMdgkPGL,09/04/2024,19:00
WifiDabba,sc8bst,"DePIN Roundtable Discussion - Top Stories",https://x.com/i/spaces/1lPKqOPvAXnJb,08/28/2024,19:00
UpRock,1rtzqi,"UpRock Weekly Calls #14",https://www.youtube.com/watch?v=VZp-osIKfXQ,08/01/2024,17:30
MASQ,0ezngt,"MASQ Weekly Community Call - DePIN rewards for MASQ live",https://x.com/i/spaces/1LyGBgvzVWkJN,08/01/2024,2:00
Hivemapper,o1qnxa,"TownHall (Quarterly Progress Report and Planning)",https://discord.com/channels/715439007764316191/1068336181160448021/1267547042327171306,07/31/2024,18:00
Geodnet,scli9r,"GIP3 AMA",https://discord.com/channels/912073116413476875/1153450740644315136/1267773237207498793,07/30/2024,16:00
UpRock,1rtzqi,"UpRock Weekly Calls #13: DePIN App and Token Updates",https://www.youtube.com/watch?v=bOdAQgo8o1Q,07/25/2024,17:30
VitaDAO,g0o72l,"VitaRNA Data Drop & Community Call Announcement",https://lu.ma/vitarna-data-drop,07/26/2024,14:00
Fetch.ai,mhpovr,"Detailed discussion into the Artificial Superintelligence Alliance token merger",https://discord.com/channels/1141305890796994651/1141320945324269698/1264848614094798962,07/22/2024,17:30
Geodnet,scli9r,"Pantera Conference Call (DePIN: The new industrial revolution)",https://discord.com/channels/912073116413476875/1153450740644315136/1264769979375685714,07/23/2024,16:00
Nosana,hdcghq,"Nosana & Theoriq AMA",https://x.com/i/spaces/1PlKQbvWNQzGE,07/18/2024,16:00
UpRock,1rtzqi,"UpRock Weekly Calls #12: Product Updates, DePIN x Meme Coin Summit",https://www.youtube.com/watch?v=slrKwBw9DKc,07/18/2024,17:30
MASQ,0ezngt,"AMA with MASQ, MANDE Network, and ArbitrumDAO_Hub (Arbitrum Hub)",https://www.youtube.com/live/3y5xYZEhVhQ,07/18/2024,12:00
WifiDabba,sc8bst,"Dabba Working Group #02",https://discord.com/channels/1120323012240085014/1153217746847420538/1263435550182871052,07/18/2024,15:30
MASQ,0ezngt,"Weekly Call (MASQ v0.9.6, Community Rewards & more)",https://x.com/i/spaces/1ypJdpRVOZdJW/peek,07/18/2024,2:00
Helium,5bm99m,"Helium & Srcful AMA",https://x.com/helium/status/1813702726146224559,07/18/2024,16:00
NATIX,uq4s3v,"Natix & PowerPod AMA",https://x.com/i/spaces/1OwxWYeNynWGQ,07/10/2024,13:00
Fetch.ai,mhpovr,"Artificial Superintelligence Alliance AMA",https://www.binance.com/en/live/video?roomId=2206280,07/05/2024,12:00
Helium,5bm99m,"Energy Network AMA",https://discord.com/invite/QNnEC4Jcy5?event=1257924192419053568,07/03/2024,18:00
DIMO,0wr2ea,"DIMO Community Meetup",https://lu.ma/lfnfw342,07/08/2024,16:00
Nosana,hdcghq,"Nosana & Arbius AMA",https://x.com/i/spaces/1lDxLPlgENwxm/peek,06/28/2024,16:00
Bittensor,hq4rl7,"Liquid Alpha feature implication meeting",https://discord.com/channels/799672011265015819/830075335084474390/1255952350061920357,06/27/2024,21:00
UpRock,1rtzqi,"UpRock Weekly Call #9 ",https://www.youtube.com/watch?v=6IfElm6I3xg,06/27/2024,17:30
NATIX,uq4s3v,"Natix AMA (Mapping the Roads to $NATIX TGE)",https://x.com/i/spaces/1ynJOyyRMrVKR,06/26/2024,16:00
Nosana,hdcghq,"Nosana & Arbius AMA",https://x.com/i/spaces/1lDxLPlgENwxm,06/28/2024,16:00
WifiDabba,sc8bst,"Dabba Townhall #06",https://discord.com/channels/1120323012240085014/1153217746847420538/1254797301197701221,06/27/2024,15:30
Filecoin,r1uv9t,"Filecoin Ecosystem Roundup",https://www.youtube.com/live/QqK1IAXiaRA,06/20/2024,20:00
WeatherXM,ff9s3p,"Gate.io & WeatherXM (WXM) Space AMA",https://x.com/i/spaces/1YqxoDDrLaXKv,06/20/2024,10:00
UpRock,1rtzqi,"UpRock Weekly Calls #8",https://www.youtube.com/watch?v=eydVgLL6foo,06/20/2024,17:30
Helium,5bm99m,"Helium Community Call - June",https://discord.com/channels/404106811252408320/730418759298318346/1253011244172972072,06/26/2024,16:00
Nosana,hdcghq,"AlphaNeural AI x Nosana AMA",https://x.com/i/spaces/1DXxyjjEZzvKM,06/20/2024,16:00
OriginTrail,v9wsjb,"On TRAC(k) - Episode 2: Delegated staking, AI agents & more",https://x.com/i/broadcasts/1OyKAWvOBEaJb,02/29/2024,14:00
OriginTrail,v9wsjb,"On TRAC(k): The V8 Foundation",https://www.youtube.com/watch?v=yp4Zjoc6xGc,01/18/2024,14:00
XNET,pyz7yz,"XNET Foundation Working Group",https://discord.com/events/984268252815446107/1283535847173390388,09/25/2024,18:00
Nosana,hdcghq,"Nosana x Sogni Partnership AMA",https://x.com/i/spaces/1MnxnDzwEndGO,09/25/2024,16:00
WifiDabba,sc8bst,"Dabba Townhall #07",https://discord.com/channels/1120323012240085014/1153217746847420538/1268550359480012903,08/01/2024,15:30
UpRock,1rtzqi,"UpRock Weekly Calls #14",https://www.youtube.com/watch?v=VZp-osIKfXQ,08/01/2024,17:30
Bittensor,hq4rl7,"Bittensor Community Call",https://www.youtube.com/watch?v=s8p65pkjMHg,07/25/2024,21:00
UpRock,1rtzqi,"UpRock Weekly Call #21",https://www.youtube.com/watch?v=yjmkBH8Jbmc,09/26/2024,17:30
Glow,m5pwg0,"Community Town Hall",https://discord.com/channels/1126887739795709982/1126889563638476860/1288184803879026742,09/26/2024,16:00
Nosana,hdcghq,"AI x DePIN Networking Breakfast",https://lu.ma/uuuk8bqm,10/08/2024,7:00
Ocean,qbhkmt,"Superintelligence Summit",https://www.eventbrite.com/e/superintelligence-summit-tickets-978174735967,11/11/2024,1:30
WifiDabba,sc8bst,"DePins Discussion Roundtable (Dabba's Inaugural AMA)",https://x.com/i/spaces/1OyKAZbDZyOGb,10/02/2024,20:00
Multisynq,5c2tug,"HackTogether Hackathon",https://reacttogether.dev/#/hackathon,11/09/2024,8:00
UpRock,1rtzqi,"UpRock Weekly Calls #22 (#UPToberIsHere)",https://www.youtube.com/watch?v=NVi82AnR8vw,10/03/2024,17:30
NATIX,uq4s3v,"NATIX Network x DIMO | AMA Session",https://x.com/i/spaces/1RDGlykEDwDJL/,10/10/2024,15:00
WifiDabba,sc8bst,"DePIN Roundtable Discussion",https://x.com/i/spaces/1OdKrXdnYPvJX ,08/21/2024,19:00
Minima,w75xgw,"TaaS Technology Mobility and Blockchain Conference",https://taas.technology/register,10/17/2024,8:55
Nosana,hdcghq,"The Pod: Power Your AI: Launching dApps With Nosana GPUs",https://e.jublia.com/SolanaBreakpoint/agenda/,09/20/2024,3:30
WifiDabba,sc8bst,"Dabba: Building a demand driven depin",https://revolution.depinhub.io/revolution?ref=https%3A%2F%2Frevolution.depinhub.io%2Fa%2F2147918728%2FuMVZYwLe,08/23/2024,13:55
Ocean,qbhkmt,"Ocean Nodes - Tokenized Intelligence hackathon",https://www.youtube.com/watch?v=vBpK6ENvTzw,10/10/2024,14:00
DIMO,0wr2ea,"NATIX Network x DIMO | AMA Session",https://x.com/i/spaces/1RDGlykEDwDJL,10/10/2024,15:00
VitaDAO,g0o72l,"VitaDAO Community Call",https://lu.ma/vitacommunitycall,10/18/2024,15:00
Nosana,hdcghq,"Web3 Global Talks Ep.208 - Powered by PAW Chain",https://x.com/i/spaces/1BRJjwVXypWxw/peek,10/18/2024,14:00
VitaDAO,g0o72l,"VitaRNA Progress Update",https://streamyard.com/watch/ShAy32SfU2iN,10/22/2024,14:00
UpRock,1rtzqi,"UpRock Weekly Calls #25 - #LetsTalkAboutCEX",https://www.youtube.com/watch?v=4gxJgPeSZS0,10/24/2024,17:30
Nosana,hdcghq,"Growww with DePIN",https://x.com/i/broadcasts/1RDxlyRrWRoKL,10/24/2024,15:00
Metablox,k5fxwj,"AMA with Roam: Roam Spooky Halloween 2024",https://x.com/i/spaces/1yNGagqWWkWxj,11/01/2024,0:00
UpRock,1rtzqi,"UpRock Weekly Calls #26: #TreatYourWalletUPT",https://www.youtube.com/watch?v=ISqSTk0X7PE,10/31/2024,17:30
Flock,ruqwx5,"FLock x Animoca Brands AMA",https://x.com/i/spaces/1BRJjwyrEQRxw,11/07/2024,12:00
CodeX,xkpeqx,"Decentralised Data Summit 2024",https://lu.ma/ysjjjaxa,11/10/2024,7:00
UpRock,1rtzqi,"UpRock Weekly Calls #27: #AIxDePINSupercycle",https://www.youtube.com/watch?v=1rcBRuy7lBs,11/07/2024,17:30
Helium,5bm99m,"Helium Mobile Tour - Seattle",https://lu.ma/mx9mexd4,11/15/2024,2:00
UpRock,1rtzqi,"UpRock Weekly Calls #28: #StakeYourUPT",https://www.youtube.com/watch?v=ITbiJrPEDqM,11/14/2024,17:30
Geodnet,scli9r,"GEO-PULSE AMA",https://x.com/i/spaces/1RDxlydNqRqKL,11/19/2024,17:00
Minima,w75xgw,"Pukecast: How is Minima changing the DePIN world?",https://x.com/i/spaces/1ZkJzRVABbdJv/peek,11/18/2024,13:00
UpRock,1rtzqi,"Solana DePIN Roundtable",https://x.com/i/spaces/1mnxeAoBPbrxX,11/20/2024,20:00
Helium,5bm99m,"Helium Community Call - November",https://discord.com/events/404106811252408320/1300819743455973396/1311375989145600000,11/27/2024,16:00
UpRock,1rtzqi,"UpRock Weekly Calls #29 - #GlobalDePINDive",https://www.youtube.com/watch?v=AOizczfVCk0,11/21/2024,17:30
WifiDabba,sc8bst,"Dabba Townhall #10",https://discord.com/events/1120323012240085014/1310428707588018197,12/02/2024,17:30
UpRock,1rtzqi,"Everything Crypto Vol. 119 - Powered by Pyth",https://x.com/i/spaces/1zqKVYLgQvDxB,11/27/2024,16:00
UpRock,1rtzqi,"UpRock Weekly Calls #30: #DePINSourcedIntelligence",https://www.youtube.com/watch?v=NUcSC-lLglo,11/28/2024,17:30
Geodnet,scli9r,"Community Call - SuperHex Eligibility Proposal Discussion",https://discord.com/events/912073116413476875/1311591813928321044,12/04/2024,16:00
DIMO,0wr2ea,"Apps Bringing a Billion People Onchain",https://x.com/i/spaces/1gqxvNVRdwwxB,12/05/2024,21:30
UpRock,1rtzqi,"UpRock Weekly Calls #31: #DePINomics",https://www.youtube.com/watch?v=PyD5xoGakd8,12/05/2024,17:30
WifiDabba,sc8bst,"Dabba 101",https://discord.com/events/1120323012240085014/1316031587703455775,12/12/2024,18:30
UpRock,1rtzqi,"UpRock Weekly Calls #32: #UpRockPrism",https://www.youtube.com/watch?v=DYlgFP4OgxA,12/12/2024,17:30
UpRock,1rtzqi,"SKOR x UpRock AMA",https://x.com/i/spaces/1BdGYEQalEDGX,12/16/2024,16:30
WifiDabba,sc8bst,"The Collision of DePINs & NFTs will MAKE WAVES in 2025",https://x.com/i/spaces/1eaKbaQRXwQxX,12/18/2024,20:00
Metablox,k5fxwj,"Roam’s 2025 Roadmap in Focus",https://x.com/i/spaces/1jMJgBQkwoqGL,12/20/2024,1:00
Helium,5bm99m,"Helium Community Call - January",https://discord.com/events/404106811252408320/1311397486635647087/1331669709619200000,01/22/2025,17:00
UpRock,1rtzqi,"UpRock Weekly Calls #35: #DePINPoweredAI",https://www.youtube.com/watch?v=6jqrh-vQ0vc,01/09/2025,17:30
Metablox,k5fxwj,"Discovery AMA: Meet Our Partners (EP 2)",https://x.com/i/spaces/1YqJDkoLXBLGV,01/10/2025,18:00
Helium,5bm99m,"Helium Community Call - January",https://discord.com/events/404106811252408320/1332080036324315157,01/29/2025,17:00
Metablox,k5fxwj,"Discovery AMA: Meet Our Partners (EP3)",https://x.com/i/spaces/1yoKMywXmjDKQ,01/18/2025,1:00
UpRock,1rtzqi,"UpRock Weekly Calls #37: #UpAndRocking",https://www.youtube.com/watch?v=grWmL0hTitk,01/23/2025,17:30
Metablox,k5fxwj,"Discovery AMA: Meet Our Partners (EP4)",https://x.com/i/spaces/1djxXrrVaPEGZ,01/24/2025,18:00
Helium,5bm99m,"HIP 138 Implementation Update AMA",https://x.com/i/spaces/1MnxnDwBZPjGO,01/24/2025,21:00
UpRock,1rtzqi,"UpRock Weekly Calls #38: #DataOverAnything",https://www.youtube.com/watch?v=lRO8_UYGc9U,01/30/2025,17:30
Metablox,k5fxwj,"Discovery AMA: Meet Our Partners (EP5)",https://x.com/i/spaces/1rmxPovLzPLJN,01/31/2025,1:00
VitaDAO,g0o72l,"VitaDAO Community Call",https://lu.ma/2exvo8g9,02/06/2025,16:00
Solana,1rk8w5,"Solana APEX - Mexico City",https://lu.ma/apex-mexico-city,02/07/2025,16:00
UpRock,1rtzqi,"UpRock Weekly Calls #39: #DePINPlaybook",https://www.youtube.com/watch?v=JpsuuN6z-NQ,02/06/2025,17:30
Metablox,k5fxwj,"Discovery AMA: Meet Our Partners (EP 6)",https://x.com/i/spaces/1nAKEgObAoaJL,02/07/2025,20:00
Helium,5bm99m,"Helium x DAWN Soiree",https://lu.ma/uqzdh89m,02/19/2025,10:00
Helium,5bm99m,"DePIN Revolution: Connecting the Physical & Digital Worlds",https://consensus-hongkong2025.coindesk.com/agenda/event/-depin-session-61,02/20/2025,6:00
UpRock,1rtzqi,"UpRock Weekly Calls #40: #DePINCatalyst",https://www.youtube.com/watch?v=FoeRxQQJ4z4,02/13/2025,17:30
WifiDabba,sc8bst,"Solana Summit: DePIN & Hardware Edition, Bengaluru",https://lu.ma/solana-summit-blr,03/25/2025,4:30
WifiDabba,sc8bst,"Dabba Townhall #11",https://discord.com/events/1120323012240085014/1341170794272657438,02/21/2025,15:30
Flock,ruqwx5,"RenAIssance ETH Denver 2025",https://lu.ma/fkpems9y,02/28/2025,1:00
UpRock,1rtzqi,"UpRock Weekly Calls #41: #BacktoUtility",https://www.youtube.com/watch?v=vnuMJcJjX9E,02/20/2025,17:30
WifiDabba,sc8bst,"Dabba Townhall #12",https://discord.com/events/1120323012240085014/1342589640267403344,02/28/2025,15:30
UpRock,1rtzqi,"UpRock Weekly Calls #42: #DePINPrecision",https://www.youtube.com/watch?v=d9tR2D_opiE,02/27/2025,17:30
