projectName,projectId,roundType,roundDate,raiseAmount,sourcEuropean UnionRL,
3DOS,5dho62,Preseed,12/1/2021,,,"Cercano Management, Frontures, Iron Key, Alchemist"
3DOS,5dho62,Seed,10/1/2023,,,"Escape Velocity, Modular"
3NUM,f5qe2h,Preseed,8/1/2022,1.4,https://www.geekwire.com/2022/seattle-area-startup-developing-Web3 Capital-mobile-numbers-that-mint-as-nfts-raises-cash/,"A100x, Acequia, BlueYard, Notation"
AdHash,p6m3rb,Seed,7/1/2021,1.75,,"Blockrocket, Coinix, Crypto Valley Venture, Blockchain Founders Fund, DATASH, Beresford"
Aethir,oo2cn2,Seed,7/1/2023,9,https://www.prnewswire.com/news-releases/aethir-closes-150-million-valuation-pre-a-funding-round-to-scale-its-decentralized-cloud-infrastructure-301886287.html,"Animoca, Big Brain, Builder, CitizenX, Hashkey, Maelstrom, Merit Circle, Mirana, Momentum 6, Sanctor, Stratified, Tess Ventures, Youbi, Framework, Infinity"
Agnostic,2pv22r,Seed,11/1/2022,,,"Atka, BlueYard, Dominance, Kima, Stake, TRGC"
Agnostiq,anzeat,Preseed,11/1/2020,2,https://www.hpcwire.com/off-the-wire/agnostiq-secures-2m-seed-round-to-further-develop-saas-based-quantum-solutions/,"Differential, Scout, Tensility, Boost, Green Egg, DCVC, Bloomberg Beta"
Agnostiq,anzeat,Seed,11/1/2022,6.1,https://siliconangle.com/2023/04/05/startup-agnostiq-raises-6-1m-integrate-quantum-computing-hpc/,"Differential, Scout, Tensility, Green Egg, Robert Granieri"
Agrotoken,r2yc3l,Seed,1/1/2024,12.5,https://contxto.com/en/agrotech/agrotoken-raises-12-5m-in-pre-series-a-funding/,"Visa, Bunge, Borderless, Xperiment, Beagle, Barn, Matterscale, BYX, Newtopia, OCTAVA, Capitallab VC, Christophe Groh"
Aimedis,p864om,Accelerator,5/1/2021,0.1,,"TDeFi, NonceVC"
AIOZ,tpqdbi,Seed,1/1/2023,,https://aioz.network/blog/aioz-network-dwf-labs-partnership,"DWF, GD1Ventures0, Innovion, GFS, Kardia, Master, Vendetta, ZBS"
Akash,qmmyw0,Preseed,11/1/2017,1.3,https://www.wsj.com/articles/funding-snapshot-overclock-labs-raises-1-3-million-seed-round-to-automate-cloud-infrastructure-1511300185,"Dokia, PeopleFund, Chorus One, RR2, Marin Digital, Chainlayer, Outpost, Alphablock, Carthona, Nautilus, Tuesday, Hone, Genblock, Infinite, Recursive, JECO, SNZ, AGE Crypto, ICE, Ellipti, Assembly, CSC UpShot, Etienne vantKruys, Auren Hoffman, Digital Asset, Wakem Management, Sikka, Kano One, Forbole, Cypher, Digital Asset, Follow [the] Seed, George Burke, Infinite, Qwerty"
Akord,5fwdog,Seed,3/1/2022,2.3,https://akord.com/blog/akord-raises-2-3m-to-secure-your-data-until-the-apocalypse,"Arweave, D1Ventures, Hustle, Maven 11, SevenX"
Alethea,zzxlj6,Series A,10/1/2021,16,https://www.theblock.co/linked/115574/alethea-ai-raises-16-million-venture-funding,"Multicoin, Alameda, Mark Cuban, Bitkraft, Dapper Labs, Galaxy Interactive, Sfermion, LD, Hof, Gemini Frontier, IDEO CoLab, Defiance, White Star, IOSG, Nascent, Borderless, CMS, Sandeep Nailwal, DeFi Dad, Andrew Steinwold, Meltem Demirors, Sid Jain, Haseeb Qureshi, Ravindra Kumar, Gabby Dizon, Jeff Morris Jr, Mike Dudas, DCInvestor, Gmoney NFT, Bitscale"
Altered State,9limss,Preseed,9/1/2021,,https://medium.com/@alteredstatemachine/altered-state-machine-welcomes-new-crypto-technology-entertainment-and-investment-partners-in-b09344b5d3d8,"0xVentures, Alpha Sigma, Bigcoin, Blockchain Founders Fund, D64, Delphi Digital, Digital Asset, Fantail, Formless, Fourth Revolution, G1, Mask Network, Outlier, Polygon, QVentures, Sheesha, Shima, True, Vendetta, Wave"
Altered State,9limss,Seed,3/1/2022,,https://medium.com/@alteredstatemachine/altered-state-machine-welcomes-new-crypto-technology-entertainment-and-investment-partners-in-b09344b5d3d8,"6th Man, AirTree, altcoinbuzz, Animoca, Baby Keem, bad crypto podcast, Blockchain Companies, Centrality, Coinbase, CryptoFOMO, DAO Jones, Dialectic, Emergent Entertainment, Enjin, Enjinstarter, Faculty, Flamingo, Forest Road, GoldenTree, Mainst, MEXC, Muse, Nasir Jones, Notables, NumEuropean Unions, Raised In Space, sammantics, six, TCG, Thomas, Warner Music, Zipmex"
Althea,nag833,Preseed,8/1/2018,1.1,,"2c9, AGE Crypto, Autonomy, Coral DeFi, Figment, UDHC, KR1"
Andrena,tgalub,Preseed,3/1/2018,1.2,,"Afore, FJ Labs, Max, Yes VC"
Andrena,tgalub,Preseed,6/1/2019,2.6,,"645, 9Yards, Bong Koh, Castle Island, Imagination, Jyri Engestr̦m, Marstar Investments, Ryan Darnell, Spencer Costanzo"
Andrena,tgalub,Seed,12/1/2020,5,,"Bossanova, Chaos, Escape Velocity, Jonathan Seaton, Outsiders, Quint"
Andrena,tgalub,Series A,2/1/2023,15,https://www.globenewswire.com/news-release/2023/02/27/2616422/0/en/Andrena-Raises-15-Million-in-Series-A-Funding-Advancing-Its-Mission-to-Provide-Next-Gen-Affordable-Internet-for-All.html,"Dragonfly, Afore, FJ Labs, Castle Island, Chaos, KohFounders, J Ventures, Blockchange, Moonshot Research, Escape Velocity"
ArDrive,e9qw0z,Seed,5/1/2021,1.6,https://www.coindesk.com/business/2021/05/19/arweave-based-permanent-dropbox-raises-16m-seed-round/,"D1Ventures, Digital Renaissance, SevenX, Arweave"
ArDrive,e9qw0z,Series A,2/1/2022,17.2,https://www.coindesk.com/business/2022/03/03/ardrive-raises-17m-to-make-arweaves-data-storage-blockchain-more-usable/,"1kx, ArkStream, Blockchain Capital, Sino Global, Cipholio, Compute, Dorm Room, Foresight, GreenfieLD, Hypersphere, IOSG, LongHash, Mask Network, Momentum 6, OFR, Old Fashion, Ryze Labs, SBS Comms, Arweave"
Armur,ka2bzq,Accelerator,1/1/2023,0.12,,"Techstars, Outlier"
Arweave,0vks67,Preseed,1/1/2018,,,"Chainfund, Multicoin, a16z, 1kx, Arrington, Christopher Heymann, Cyberight, Lasse Clausen, Union Square, Team in Residence, Zeroth.ai"
Arweave,0vks67,Series A,3/1/2020,8.3,https://www.axios.com/2020/03/06/arweave-funding-permanent-data-storage-coronavirus,"Signum, Notation, Mechanism, One Block, SevenX, MetaCartel, Crypto Dorm, Hidden Muse, eGirl, Deep, Bering Waters, Collab+Currency, Lotus, NGC, KOI, Lattice, Placeholder, CMCC Global, IOSG, Borderless, Knickerbocker, Coinbase, Block0, Version One, BR, Genblock, First Principles, Insignius, Blockchain Capital, A195, GreenfieLD, Unanimous, Bixin, Big Brain, Krenex, a16z, Maven 11, Union Square, Techstars"
Aston,7wi7uw,Seed,1/1/2023,,,"Climate, Liquid 2, Twelve Below, Unlock"
Atlas Navi,dc50kw,Accelerator,1/1/2020,1.6,https://www.atlasnavi.com/about,European Union
Autonolas,5wvni1,Seed,9/1/2022,4,https://siliconangle.com/2022/10/12/valory-raises-4m-unlock-software-driven-autonomy-blockchain-apps/,"Atka, Primeblock, Proof+Geist, Semantic, Signature, True"
B-cube.ai,qug1e6,Accelerator,,,,Block.IS
B-Datagray,t47npe,Preseed,2/1/2022,,,"Polygon, Big Brain, Ruben Pujol, Cataliize, R-930"
Banyan,jkyr67,Seed,11/1/2022,,,"Tess Ventures, Triblock"
Barterchain,v8cjbl,Accelerator,4/1/2022,,,"BlockStart, Techstars"
Beegol,qvuc9n,Seed,2/1/2022,2.2,https://www.prnewswire.com/news-releases/indicator-capital-leads-a-us-2-2-million-investment-round-in-beegol-to-improve-the-quality-of-internet-services-301473780.html,"Indicator, PHARUS, Telefonica, Wayra Brazil, Bertha"
Beyond,3kk637,Preseed,8/1/2021,,,"Sax, Mana"
Bird.Money,64mpyg,Preseed,12/1/2021,0.6,,Binance
Bittensor,hq4rl7,Seed,1/1/2020,,,"DCG, FirstMark, Polychain, Creative Destruction Lab"
Bittensor,hq4rl7,Series A,11/1/2023,,https://opentensor.medium.com/november-network-update-114234436dfb,"Pantera, Collab+Currency, NGC, Gravity"
Black Sheep,dg3bp5,Accelerator,1/9/2022,0.15,,Open Web
Blackbird,vhqz3k,Seed,8/1/2022,11,https://www.theblock.co/post/175214/resy-co-founder-ben-leventhal-raises-11-million-for-new-Web3 Capital-hospitality-platform?utm_source=twitter&utm_medium=social,"Union Square, Shine, Multicoin, Variant, Circle, IAC"
Blackbird,vhqz3k,Series A,6/1/2023,24,https://www.prnewswire.com/news-releases/blackbird-labs-raises-24-million-series-a-round-from-a16z-amex-ventures-and-more-to-help-transform-the-way-restaurants-approach-diner-loyalty-301946664.html,"a16z, Amex, QED, Union Square, Shine, Variant, Quality Branded, Rustic Canyon Family, Souvla Brooks Reitz"
bloXmove,3xdu4v,Accelerator,6/1/2021,0.15,,"Aza, Blockwall, Buidlhodl, Coinix, Tenity"
bloXmove,3xdu4v,Preseed,7/1/2022,0.49,,"Arcanum, Plug and Play"
Bloxtel,8ukwaw,Preseed,5/1/2022,,https://www.prnewswire.com/news-releases/bloxtel-launches-most-advanced-private-5g-platform-in-the-market-301988245.html,"500 Global, Side Door, Monoceros, Varys, RW3"
Bluebird Power,h56lyg,Preseed,1/1/2023,0.37,https://siliconcanals.com/crowdfunding/bluebird-power-raises-350k/,North Holland Innovation
Borlaug,g2f9pf,Preseed,12/1/2017,,,"VenturesOne, WorldStartup, Indigram Labs"
Botto,uyclvb,Preseed,,,,Variant
